doc_id,title,authors,year,language,publication,physical_description,record_id,source_url,pages_count,pdf_status,mrc_status,processing_status,scan_quality,music_pages_count,omr_status,comments
rsl01004473127,"Признание : романс Зины ""Он мой покой"" : слова из оперы ""Цыг. ром. в лицах"" Н. Северского","Абаза, Эраст",,rus,Николай Христофорович Давингоф,3 с.,004473127,http://dlib.rsl.ru/rsl01004000000/rsl01004473000/rsl01004473127/rsl01004473127.pdf,2,exists,parsed,imported,unknown,,not_started,
rsl01004473921,Дремлют плакучие ивы : романс,"Б., Б.",,rus,К. Леопас,3 с.,004473921,http://dlib.rsl.ru/rsl01004000000/rsl01004473000/rsl01004473921/rsl01004473921.pdf,3,exists,parsed,imported,unknown,,not_started,
rsl01004474306,Астры : Ор. 8,"Давидов, Алексей Августович",,rus,П. Юргенсон,3 с.,004474306,http://dlib.rsl.ru/rsl01004000000/rsl01004474000/rsl01004474306/rsl01004474306.pdf,2,exists,parsed,imported,unknown,,not_started,
rsl01004474307,Вечер гаснет : Ор. 4 № 2,"Давидов, Алексей Августович",,rus,П. Юргенсон,5 с.,004474307,http://dlib.rsl.ru/rsl01004000000/rsl01004474000/rsl01004474307/rsl01004474307.pdf,4,exists,parsed,imported,unknown,,not_started,
rsl01004474316,Потонувший колокол = Die versunkene Glocke : опера в 4-х актах,"Давидов, Алексей Августович",,rus,P. Jurgenson,243 с.,004474316,http://dlib.rsl.ru/rsl01004000000/rsl01004474000/rsl01004474316/rsl01004474316.pdf,,missing,parsed,imported,unknown,,not_started,
rsl01004475459,Соната : в 4-х частях : для фортепиано,"Абрамский, Александр Савватьевич",1928,rus,Музсектор Госиздата 1928,25 с.,004475459,http://dlib.rsl.ru/rsl01004000000/rsl01004475000/rsl01004475459/rsl01004475459.pdf,21,exists,parsed,imported,unknown,,not_started,
rsl01004475471,Новая полная общедоступная школа для кларнета : Часть 1 удобна для самообучения,"Баганц, А.Ф.",1927,rus,Государственное издательство Музыкальный сектор 1927,47 с.,004475471,http://dlib.rsl.ru/rsl01004000000/rsl01004475000/rsl01004475471/rsl01004475471.pdf,47,exists,parsed,imported,unknown,,not_started,
rsl01004475472,"Школа для балалайки : Часть 2 Пьесы для 6 балалаек, 4-х домр, гудка и свирелей по нотной системе","Бабкин, Борис Петрович",,rus,Ф. Пасербский,29 с.,004475472,http://dlib.rsl.ru/rsl01004000000/rsl01004475000/rsl01004475472/rsl01004475472.pdf,32,exists,parsed,imported,unknown,,not_started,
rsl01004476185,"Попурри : из оперы ""Руслан и Людмила"" М.И. Глинки","Евгениев, Андрей Иванович",,rus,Ф. Стелловский,57 с.,004476185,http://dlib.rsl.ru/rsl01004000000/rsl01004476000/rsl01004476185/rsl01004476185.pdf,57,exists,parsed,imported,unknown,,not_started,
rsl01004476611,Заклинание : Ор. 1 № 2 : сопрано,"Багадуров, Всеволод Алавердиевич",,rus,П. Юргенсон,5 с.,004476611,http://dlib.rsl.ru/rsl01004000000/rsl01004476000/rsl01004476611/rsl01004476611.pdf,5,exists,parsed,imported,unknown,,not_started,
rsl01004477222,"Песня Вольфрама : из музык. драмы ""Тангейзер"" : пение и фортепиано","Вагнер, Рихард",,rus,,,004477222,http://dlib.rsl.ru/rsl01004000000/rsl01004477000/rsl01004477222/rsl01004477222.pdf,4,exists,parsed,imported,unknown,,not_started,
rsl01004477659,Весна монастырская : Ор. 1 № 4,"Багадуров, Всеволод Алавердиевич",,rus,П. Юргенсон,9 с.,004477659,http://dlib.rsl.ru/rsl01004000000/rsl01004477000/rsl01004477659/rsl01004477659.pdf,8,exists,parsed,imported,unknown,,not_started,
rsl01004477914,Две чеченских песни : Прощание с милым : Любовная (Веселая) : №№ 1-2 : для 7 струнной гитары,"Давиденко, Александр Александрович",1932,rus,Москва Государственное музыкальное издательство 1932,3 с.,004477914,http://dlib.rsl.ru/rsl01004000000/rsl01004477000/rsl01004477914/rsl01004477914.pdf,3,exists,parsed,imported,unknown,,not_started,
rsl01004477924,Гимн народовольцев : фортепиано,"Давиденко, Александр Александрович",1931,rus,Москва Государственное музыкальное издательство 1931,3 с.,004477924,http://dlib.rsl.ru/rsl01004000000/rsl01004477000/rsl01004477924/rsl01004477924.pdf,3,exists,parsed,imported,unknown,,not_started,
rsl01004478004,"Песня Вольфрама : из музык. драмы ""Тангейзер""","Вагнер, Рихард",,rus,,4 с.,004478004,http://dlib.rsl.ru/rsl01004000000/rsl01004478000/rsl01004478004/rsl01004478004.pdf,4,exists,parsed,imported,unknown,,not_started,
rsl01004478024,Царский солдат : военная песня : для одного голоса с хором ad libitum,"Евгеньев, Андрей Иванович",,rus,Санкт-Петербург Стелловский,12 с.,004478024,http://dlib.rsl.ru/rsl01004000000/rsl01004478000/rsl01004478024/rsl01004478024.pdf,12,exists,parsed,imported,unknown,,not_started,
rsl01010549152,Причастен : Во всю землю изыде вещание их : на два [смешанных] хора [без сопровождения],"Бортнянский, Дмитрий Степанович 1751-1825",1815,rus,"В Санкт-Петербурге [1815] гравировано и печатано у Ивана Фуса, в малой Миллионной, по № 61","10 с. (партит.), 8 с. разд. паг. (партии) 22,5х32,0 см",010549152,http://dlib.rsl.ru/rsl01010000000/rsl01010549000/rsl01010549152/rsl01010549152.pdf,31,exists,parsed,imported,unknown,,not_started,
rsl01010590489,"Музыка в нас : исполнительская практика эстрадного вокального ансамбля ""Эва"" : репертуарный сборник : направление подготовки: 53.03.01 ""Музыкальное искусство эстрады"", профиль подготовки ""Эстрадно-джазовое пение"" : для студентов учебных заведений культуры и искусства","Вингертер, Наталья Николаевна; Государственное бюджетное образовательное учреждение высшего образования ""Кемеровский государственный институт искусств и культуры"" Факультет музыкального искусства Кафедра эстрадного оркестра и ансамбля",2020,rus,Кемерово Кемеров. гос. ин-т искусств и культуры 2020,67 с. 30 см,010590489,http://dlib.rsl.ru/rsl01010000000/rsl01010590000/rsl01010590489/rsl01010590489.pdf,69,exists,parsed,imported,unknown,,not_started,
rsl01011321153,Marsch : des Mamelucken Corps : bey Napoleon's Kroenung : [для фортепиано],,1800,ger,[Б. м.] [б. и.] [1800-1812],"[1] с. 25,0×34,0x0,5 см",011321153,http://dlib.rsl.ru/rsl01011000000/rsl01011321000/rsl01011321153/rsl01011321153.pdf,5,exists,parsed,imported,unknown,,not_started,
rsl01011371809,Walzer : auf den Einzug der allürten Armeen in Paris : [für piano-forte],,1807,ger,Leipzig Berlin Kunst- und Industrie-Comptoir [1807],"[1] c. 24,5х34,0х0,2 см",011371809,http://dlib.rsl.ru/rsl01011000000/rsl01011371000/rsl01011371809/rsl01011371809.pdf,3,exists,parsed,imported,unknown,,not_started,
rsl01011551237,"Sechs Praludien : für die Orgel oder das Pianoforte : op. XII, № 2 (1-6)","Albrechtsberger, Johann Georg 1736-1809",1803,ger,Wien Verlag der Kunst und Industrie [1803],"13, [1] с. 24,0х33,0х2,5 см",011551237,http://dlib.rsl.ru/rsl01011000000/rsl01011551000/rsl01011551237/rsl01011551237.pdf,15,exists,parsed,imported,unknown,,not_started,
rsl01011764135,Ч. 2,,1866,rus fre,ценз. 1866,"28-77, [3] с. 34,5х25,5х1,0 см",011764135,http://dlib.rsl.ru/rsl01011000000/rsl01011764000/rsl01011764135/rsl01011764135.pdf,59,exists,parsed,imported,unknown,,not_started,
rsl01012190186,Monathliche Clavier-Unterhaltungen : [für Clavier und Singstimmen],"Burmann, Gottlob Wilhelm 1737-1805; Burmann, Gottlob Wilhelm 1737-1805 авт. авт. предисл.",1779,ger,Berlin s. l. 1779,"[52] с. ил. 31,0х27,3х0,9 см",012190186,http://dlib.rsl.ru/rsl01012000000/rsl01012190000/rsl01012190186/rsl01012190186.pdf,61,exists,parsed,imported,unknown,,not_started,
rsl01012548998,Le Forgeron musicien : pour harmonium,"Händel, Georg Friedrich 1685-1759; Engel, Louis [fl.1860? — fl.1899?] авт. аранж.",1865,fre,Vienne C. A. Spina [1865],"5, [1] с. 34,3х26,1х0,1 см",012548998,http://dlib.rsl.ru/rsl01012000000/rsl01012548000/rsl01012548998/rsl01012548998.pdf,7,exists,parsed,imported,unknown,,not_started,
rsl01013682642,Nocturno [Andantino : 6/8 : Es-dur : pour le piano] : [автограф с подписью],"Feist, Constantin",1858,fre,Харьков 1858,"7 [4+III] л. 37,4 х 27,1 х 0,5 см",013682642,http://dlib.rsl.ru/rsl01013000000/rsl01013682000/rsl01013682642/rsl01013682642.pdf,23,exists,parsed,imported,unknown,,not_started,
rsl01013687437,"Альбом вокальных пьес, посвященных императрице Александре Федоровне [автограф]","Шопенгауэр, Артур 1788-1860 RSL11-000002020 авт. сл.; Гёте, Иоганн Вольфганг 1749-1832 RSL11-000085073 авт. сл.",1820,ger ita,[Б. м.] [вторая половина 1820-х],30 л.,013687437,http://dlib.rsl.ru/rsl01013000000/rsl01013687000/rsl01013687437/rsl01013687437.pdf,71,exists,parsed,imported,unknown,,not_started,
rsl01013957967,Ирмосы воскресные : [8-ми гласов] : греческого напева : [для мужского хора без сопповождения],,1913,rus,Санкт-Петербург собств. Придвор. певч. капеллы 1913 Литогр. Г. Шмидта,"4 парт. (80 с. разд. паг.) 27,0х17,5х0,4 см",013957967,http://dlib.rsl.ru/rsl01013000000/rsl01013957000/rsl01013957967/rsl01013957967.pdf,85,exists,parsed,imported,unknown,,not_started,
